pays,code_pays,annee,produit,code_produit,nature,dispo_int,production,importation,exportation,variation_stock
Arménie,1,2013,Coco (Incl Coprah),2560,végétal,0.0,,0.0,0.0,0.0
Arménie,1,2013,Sésame,2561,végétal,0.0,,0.0,,
Arménie,1,2013,Olives,2563,végétal,3.0,,4.0,1.0,
Arménie,1,2013,"Plantes Oleiferes, Autre",2570,végétal,1.0,0.0,1.0,0.0,
Arménie,1,2013,Huile de Soja,2571,végétal,1.0,,1.0,0.0,0.0
Arménie,1,2013,Huile d'Arachide,2572,végétal,0.0,,0.0,,
Arménie,1,2013,Huile de Tournesol,2573,végétal,30.0,1.0,29.0,0.0,0.0
Arménie,1,2013,Huile de Colza&Moutarde,2574,végétal,0.0,,0.0,,
Arménie,1,2013,Huile Graines de Coton,2575,végétal,0.0,,0.0,,0.0
Arménie,1,2013,Huile de Palmistes,2576,végétal,0.0,,0.0,,
Arménie,1,2013,Huile de Palme,2577,végétal,1.0,,1.0,0.0,
Arménie,1,2013,Huile de Coco,2578,végétal,1.0,,1.0,,
Arménie,1,2013,Huile de Sésame,2579,végétal,0.0,,0.0,,
Arménie,1,2013,Huile d'Olive,2580,végétal,0.0,,0.0,,
Arménie,1,2013,Huile de Germe de Maïs,2582,végétal,0.0,,0.0,,
Arménie,1,2013,Huil Plantes Oleif Autr,2586,végétal,2.0,,2.0,0.0,0.0
Arménie,1,2013,Tomates,2601,végétal,273.0,276.0,0.0,3.0,0.0
Arménie,1,2013,Oignons,2602,végétal,53.0,45.0,7.0,0.0,0.0
Arménie,1,2013,"Légumes, Autres",2605,végétal,764.0,764.0,6.0,6.0,0.0
Arménie,1,2013,"Oranges, Mandarines",2611,végétal,14.0,,15.0,1.0,0.0
Arménie,1,2013,Citrons & Limes,2612,végétal,1.0,,1.0,,
Arménie,1,2013,Pamplemousse,2613,végétal,2.0,,2.0,0.0,0.0
Arménie,1,2013,"Agrumes, Autres",2614,végétal,1.0,,1.0,0.0,
Arménie,1,2013,Bananes,2615,végétal,2.0,,2.0,0.0,
Arménie,1,2013,Bananes plantains,2616,végétal,8.0,,8.0,,
Arménie,1,2013,Pommes,2617,végétal,107.0,112.0,2.0,6.0,0.0
Arménie,1,2013,Ananas,2618,végétal,0.0,,1.0,0.0,0.0
Arménie,1,2013,Dattes,2619,végétal,0.0,,0.0,0.0,
Arménie,1,2013,Raisin,2620,végétal,235.0,241.0,3.0,9.0,0.0
Arménie,1,2013,"Fruits, Autres",2625,végétal,206.0,226.0,6.0,26.0,0.0
Arménie,1,2013,Café,2630,végétal,12.0,,14.0,2.0,
Arménie,1,2013,Feve de Cacao,2633,végétal,7.0,,7.0,0.0,
Arménie,1,2013,Thé,2635,végétal,0.0,,0.0,0.0,
Arménie,1,2013,Poivre,2640,végétal,0.0,,0.0,0.0,0.0
Arménie,1,2013,Piments,2641,végétal,0.0,,0.0,,
Arménie,1,2013,Girofles,2642,végétal,0.0,,0.0,,
Arménie,1,2013,"Épices, Autres",2645,végétal,0.0,,0.0,0.0,0.0
Arménie,1,2013,Vin,2655,végétal,4.0,6.0,0.0,2.0,
Arménie,1,2013,Bière,2656,végétal,19.0,20.0,3.0,4.0,
Arménie,1,2013,Boissons Fermentés,2657,végétal,0.0,2.0,0.0,2.0,
Arménie,1,2013,Boissons Alcooliques,2658,végétal,1.0,30.0,14.0,47.0,3.0
Arménie,1,2013,"Alcool, non Comestible",2659,végétal,0.0,3.0,1.0,3.0,
Arménie,1,2013,Aliments pour enfants,2680,végétal,0.0,,0.0,0.0,
Arménie,1,2013,Viande de Bovins,2731,animal,61.0,54.0,7.0,0.0,0.0
Arménie,1,2013,Viande d'Ovins/Caprins,2732,animal,9.0,9.0,0.0,,
Arménie,1,2013,Viande de Suides,2733,animal,31.0,13.0,19.0,1.0,0.0
Arménie,1,2013,Viande de Volailles,2734,animal,40.0,8.0,32.0,0.0,
Arménie,1,2013,"Viande, Autre",2735,animal,0.0,,0.0,0.0,
Arménie,1,2013,Abats Comestible,2736,animal,17.0,15.0,2.0,0.0,
Arménie,1,2013,Graisses Animales Crue,2737,animal,11.0,3.0,8.0,,0.0
Arménie,1,2013,"Beurre, Ghee",2740,animal,5.0,1.0,5.0,0.0,
Arménie,1,2013,Crème,2743,animal,0.0,,0.0,,
Arménie,1,2013,Oeufs,2744,animal,35.0,34.0,1.0,0.0,
Arménie,1,2013,Miel,2745,végétal,2.0,2.0,0.0,0.0,
Arménie,1,2013,Poissons Eau Douce,2761,animal,10.0,11.0,1.0,2.0,
Arménie,1,2013,Perciform,2762,animal,0.0,,0.0,0.0,
Arménie,1,2013,Poissons Pelagiques,2763,animal,11.0,,11.0,0.0,
Arménie,1,2013,"Poissons Marins, Autres",2764,animal,1.0,,1.0,0.0,0.0
Arménie,1,2013,Crustacés,2765,animal,0.0,5.0,0.0,5.0,
Arménie,1,2013,Cephalopodes,2766,animal,0.0,,0.0,0.0,
